Datetime,Close,High,Low,Open,Volume,RSI,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,EMA_20,EMA_50
2025-11-08 12:15:00+00:00,101989.3359375,101989.3359375,101732.8359375,101732.8359375,684531712,40.960096495982235,101838.84420244685,102311.75,102784.65579755315,102264.68683599573,102500.26971953987
2025-11-08 12:30:00+00:00,102001.1640625,102001.1640625,101955.765625,101977.046875,0,41.33190179163858,101812.64136040646,102302.221484375,102791.80160834354,102239.58942899613,102480.69694867556
2025-11-08 12:45:00+00:00,101972.8515625,101985.3671875,101876.3984375,101938.6875,146579456,40.67165129764355,101775.59149410778,102285.793359375,102795.99522464223,102214.18582266317,102460.78144333533
2025-11-08 13:00:00+00:00,101918.203125,102027.5546875,101751.2578125,102000.375,605855744,39.36453950001267,101730.29288582575,102261.63671875,102792.98055167425,102185.99699431431,102439.50386222414
2025-11-08 13:15:00+00:00,102064.671875,102109.8515625,101851.6640625,101931.46875,0,44.511771009793286,101711.85462278331,102242.27578125,102772.6969397167,102174.44222104628,102424.8045686075
2025-11-08 13:30:00+00:00,102093.6328125,102154.59375,101930.0859375,102059.4765625,726261760,45.49696116577476,101709.37476971724,102216.973046875,102724.57132403278,102166.74608689902,102411.81744091702
2025-11-08 13:45:00+00:00,101922.296875,101980.3359375,101869.8515625,101980.3359375,0,40.87336279193197,101678.0349198887,102192.023828125,102706.01273636131,102143.46520957531,102392.6205559791
2025-11-08 14:00:00+00:00,101599.765625,101799.1015625,101599.765625,101772.140625,0,33.89116392759699,101586.21682881223,102160.930859375,102735.64488993777,102091.68429675861,102361.52820574462
2025-11-08 14:15:00+00:00,101666.421875,101687.0390625,101463.1953125,101589.75,18227200,36.31252542719364,101523.26133158943,102123.15625,102723.05116841057,102051.18311373398,102334.26913395071
2025-11-08 14:30:00+00:00,101967.6484375,102019.0390625,101698.6875,101710.28125,640327680,45.94754531022948,101522.2297207676,102094.896484375,102667.5632479824,102043.22743028312,102319.89185173696
2025-11-08 14:45:00+00:00,101829.4296875,102013.859375,101829.4296875,101939.328125,477200384,42.75153152872507,101497.52160487654,102068.977734375,102640.43386387346,102022.86574049426,102300.65804137473
2025-11-08 15:00:00+00:00,101755.4765625,101878.890625,101755.4765625,101819.6171875,172957696,41.104106011784815,101465.57386294712,102041.13203125,102616.69019955289,101997.40010449481,102279.27837553651
2025-11-08 15:15:00+00:00,101502.9140625,101883.9296875,101498.921875,101802.015625,673562624,36.00170898648995,101406.97049594969,101992.817578125,102578.66466030032,101950.3061957334,102248.83271620174
2025-11-08 15:30:00+00:00,101546.609375,101621.7421875,101501.0,101553.453125,0,37.448407638693396,101367.6358252456,101948.860546875,102530.08526850441,101911.85887947307,102221.29454595853
2025-11-08 15:45:00+00:00,101637.4375,101694.9921875,101524.640625,101524.640625,0,40.461271038668805,101368.93185285715,101905.496484375,102442.06111589287,101885.72350999944,102198.39819121506
2025-11-08 16:00:00+00:00,101831.125,101831.125,101535.1015625,101678.3046875,451629056,46.3911212556367,101425.42716427181,101868.791796875,102312.15642947819,101880.52365190427,102183.99532097134
2025-11-08 16:15:00+00:00,101824.4140625,101901.65625,101729.0,101895.4140625,0,46.21935638680884,101495.18444592366,101835.615234375,102176.04602282634,101875.17988148482,102169.89409514893
2025-11-08 16:30:00+00:00,101908.0,101908.0,101783.953125,101817.8671875,0,48.763901927572185,101497.52806248308,101830.68125,102163.83443751691,101878.3056070577,102159.62373847642
